gs_id,time_ns,old_sat,new_sat
88,6060000000000,330,-1
89,6060000000000,168,-1
90,6060000000000,-1,138
91,6060000000000,-1,234
92,6060000000000,281,-1
93,6060000000000,113,-1
96,6060000000000,135,159
97,6060000000000,307,282
98,6060000000000,188,-1
99,6060000000000,-1,405
0,6120000000000,-1,54
1,6120000000000,-1,139
2,6120000000000,7,486
3,6120000000000,404,139
4,6120000000000,-1,393
6,6120000000000,30,-1
7,6120000000000,599,574
8,6120000000000,-1,381
9,6120000000000,-1,543
10,6120000000000,614,589
11,6120000000000,-1,307
12,6120000000000,-1,237
13,6120000000000,436,460
14,6120000000000,467,-1
15,6120000000000,231,-1
16,6120000000000,-1,104
17,6120000000000,104,464
18,6120000000000,565,228
19,6120000000000,407,261
20,6120000000000,-1,89
21,6120000000000,133,84
22,6120000000000,592,-1
23,6120000000000,465,-1
24,6120000000000,-1,187
25,6120000000000,-1,464
26,6120000000000,-1,612
27,6120000000000,-1,211
28,6120000000000,-1,564
29,6120000000000,93,-1
30,6120000000000,109,-1
31,6120000000000,151,-1
32,6120000000000,-1,511
33,6120000000000,-1,606
35,6120000000000,487,-1
36,6120000000000,-1,256
37,6120000000000,490,-1
38,6120000000000,-1,437
39,6120000000000,-1,184
40,6120000000000,-1,624
41,6120000000000,-1,354
42,6120000000000,-1,38
43,6120000000000,491,-1
45,6120000000000,-1,615
47,6120000000000,-1,209
48,6120000000000,-1,63
49,6120000000000,206,12
50,6120000000000,115,-1
51,6120000000000,327,15
52,6120000000000,163,-1
53,6120000000000,189,453
54,6120000000000,32,511
55,6120000000000,175,-1
56,6120000000000,616,-1
57,6120000000000,87,-1
58,6120000000000,188,405
59,6120000000000,-1,79
60,6120000000000,382,-1
61,6120000000000,555,579
62,6120000000000,418,-1
63,6120000000000,-1,442
64,6120000000000,612,181
65,6120000000000,416,-1
66,6120000000000,253,-1
67,6120000000000,85,158
68,6120000000000,-1,354
69,6120000000000,86,110
70,6120000000000,-1,278
72,6120000000000,-1,236
73,6120000000000,406,-1
74,6120000000000,452,-1
75,6120000000000,-1,55
76,6120000000000,60,133
77,6120000000000,111,-1
78,6120000000000,36,182
79,6120000000000,-1,163
80,6120000000000,-1,62
81,6120000000000,134,-1
82,6120000000000,-1,412
83,6120000000000,61,36
84,6120000000000,163,380
85,6120000000000,-1,606
86,6120000000000,-1,103
87,6120000000000,-1,208
89,6120000000000,-1,550
90,6120000000000,138,-1
91,6120000000000,234,-1
92,6120000000000,-1,87
94,6120000000000,-1,39
95,6120000000000,-1,330
96,6120000000000,159,-1
97,6120000000000,282,136
99,6120000000000,405,-1
0,6180000000000,54,-1
1,6180000000000,139,403
2,6180000000000,486,-1
3,6180000000000,139,-1
4,6180000000000,393,-1
5,6180000000000,-1,590
7,6180000000000,574,143
8,6180000000000,381,-1
9,6180000000000,543,-1
10,6180000000000,589,253
11,6180000000000,307,161
12,6180000000000,237,-1
13,6180000000000,460,557
14,6180000000000,-1,200
15,6180000000000,-1,61
16,6180000000000,104,-1
17,6180000000000,464,-1
18,6180000000000,228,-1
19,6180000000000,261,431
20,6180000000000,89,-1
21,6180000000000,84,108
22,6180000000000,-1,325
24,6180000000000,187,-1
25,6180000000000,464,103
26,6180000000000,612,180
27,6180000000000,211,-1
28,6180000000000,564,-1
30,6180000000000,-1,133
32,6180000000000,511,31
33,6180000000000,606,581
34,6180000000000,-1,140
35,6180000000000,-1,55
36,6180000000000,256,86
38,6180000000000,437,-1
39,6180000000000,184,-1
40,6180000000000,624,193
41,6180000000000,354,-1
42,6180000000000,38,-1
44,6180000000000,-1,113
45,6180000000000,615,302
46,6180000000000,-1,615
47,6180000000000,209,-1
48,6180000000000,63,-1
49,6180000000000,12,-1
50,6180000000000,-1,427
51,6180000000000,15,-1
52,6180000000000,-1,404
53,6180000000000,453,-1
54,6180000000000,511,56
55,6180000000000,-1,417
56,6180000000000,-1,326
57,6180000000000,-1,280
58,6180000000000,405,-1
59,6180000000000,79,438
60,6180000000000,-1,260
61,6180000000000,579,313
62,6180000000000,-1,224
